[2020-03-06 03:37:12]: Path: save/1583483832/ is created
[2020-03-06 03:37:44]: Start train process.
[2020-03-06 03:37:44]: | epoch   0 |     0/ 4351 batches | rec loss 8.5996 | dis loss 0.8346 |
[2020-03-06 03:37:59]: | epoch   0 |   200/ 4351 batches | rec loss 5.5475 | dis loss 0.6993 |
[2020-03-06 03:38:14]: | epoch   0 |   400/ 4351 batches | rec loss 4.5744 | dis loss 0.6776 |
[2020-03-06 03:38:29]: | epoch   0 |   600/ 4351 batches | rec loss 3.8554 | dis loss 0.6560 |
[2020-03-06 03:38:44]: | epoch   0 |   800/ 4351 batches | rec loss 3.4813 | dis loss 0.6204 |
[2020-03-06 03:38:59]: | epoch   0 |  1000/ 4351 batches | rec loss 3.1455 | dis loss 0.6011 |
[2020-03-06 03:39:14]: | epoch   0 |  1200/ 4351 batches | rec loss 2.9612 | dis loss 0.5769 |
[2020-03-06 03:39:29]: | epoch   0 |  1400/ 4351 batches | rec loss 2.4739 | dis loss 0.5860 |
[2020-03-06 03:39:44]: | epoch   0 |  1600/ 4351 batches | rec loss 2.4212 | dis loss 0.5838 |
[2020-03-06 03:39:59]: | epoch   0 |  1800/ 4351 batches | rec loss 2.3624 | dis loss 0.5831 |
[2020-03-06 03:40:13]: | epoch   0 |  2000/ 4351 batches | rec loss 1.9963 | dis loss 0.5692 |
[2020-03-06 03:40:28]: | epoch   0 |  2200/ 4351 batches | rec loss 1.9881 | dis loss 0.5425 |
[2020-03-06 03:40:43]: | epoch   0 |  2400/ 4351 batches | rec loss 1.7887 | dis loss 0.4863 |
[2020-03-06 03:40:58]: | epoch   0 |  2600/ 4351 batches | rec loss 1.7794 | dis loss 0.4631 |
[2020-03-06 03:41:13]: | epoch   0 |  2800/ 4351 batches | rec loss 1.5979 | dis loss 0.4982 |
[2020-03-06 03:41:28]: | epoch   0 |  3000/ 4351 batches | rec loss 1.4507 | dis loss 0.4623 |
[2020-03-06 03:41:42]: | epoch   0 |  3200/ 4351 batches | rec loss 1.4617 | dis loss 0.4997 |
[2020-03-06 03:41:57]: | epoch   0 |  3400/ 4351 batches | rec loss 1.3914 | dis loss 0.5304 |
[2020-03-06 03:42:12]: | epoch   0 |  3600/ 4351 batches | rec loss 1.3241 | dis loss 0.4582 |
[2020-03-06 03:42:27]: | epoch   0 |  3800/ 4351 batches | rec loss 1.3461 | dis loss 0.5043 |
[2020-03-06 03:42:42]: | epoch   0 |  4000/ 4351 batches | rec loss 1.3328 | dis loss 0.6094 |
[2020-03-06 03:42:57]: | epoch   0 |  4200/ 4351 batches | rec loss 1.1642 | dis loss 0.6091 |
[2020-03-06 03:43:08]: | end of epoch   0 | time: 324.01s |
[2020-03-06 03:43:08]: | epoch   1 |     0/ 4351 batches | rec loss 1.1801 | dis loss 0.5870 |
[2020-03-06 03:43:23]: | epoch   1 |   200/ 4351 batches | rec loss 1.3418 | dis loss 0.5173 |
[2020-03-06 03:43:38]: | epoch   1 |   400/ 4351 batches | rec loss 1.2018 | dis loss 0.5798 |
[2020-03-06 03:43:52]: | epoch   1 |   600/ 4351 batches | rec loss 1.0905 | dis loss 0.5280 |
[2020-03-06 03:44:07]: | epoch   1 |   800/ 4351 batches | rec loss 1.1502 | dis loss 0.5134 |
[2020-03-06 03:44:22]: | epoch   1 |  1000/ 4351 batches | rec loss 1.1211 | dis loss 0.4815 |
[2020-03-06 03:44:37]: | epoch   1 |  1200/ 4351 batches | rec loss 1.1123 | dis loss 0.4934 |
[2020-03-06 03:44:51]: | epoch   1 |  1400/ 4351 batches | rec loss 1.0127 | dis loss 0.5324 |
