[2020-03-05 19:51:27]: Path: save/1583455887/ is created
[2020-03-05 19:52:21]: Start train process.
[2020-03-05 19:52:22]: | epoch   0 |     0/ 4351 batches | rec loss 8.5605 | dis loss 0.6908 |
[2020-03-05 19:52:37]: | epoch   0 |   200/ 4351 batches | rec loss 5.4636 | dis loss 0.6843 |
[2020-03-05 19:52:52]: | epoch   0 |   400/ 4351 batches | rec loss 4.5201 | dis loss 0.6907 |
[2020-03-05 19:53:07]: | epoch   0 |   600/ 4351 batches | rec loss 3.8270 | dis loss 0.6742 |
[2020-03-05 19:53:22]: | epoch   0 |   800/ 4351 batches | rec loss 3.4670 | dis loss 0.6124 |
[2020-03-05 19:53:36]: | epoch   0 |  1000/ 4351 batches | rec loss 3.0971 | dis loss 0.5623 |
[2020-03-05 19:53:52]: | epoch   0 |  1200/ 4351 batches | rec loss 2.9004 | dis loss 0.5669 |
[2020-03-05 19:54:06]: | epoch   0 |  1400/ 4351 batches | rec loss 2.5232 | dis loss 0.5229 |
[2020-03-05 19:54:21]: | epoch   0 |  1600/ 4351 batches | rec loss 2.4379 | dis loss 0.5704 |
[2020-03-05 19:54:36]: | epoch   0 |  1800/ 4351 batches | rec loss 2.0670 | dis loss 0.5074 |
[2020-03-05 19:54:51]: | epoch   0 |  2000/ 4351 batches | rec loss 2.0085 | dis loss 0.4544 |
[2020-03-05 19:55:06]: | epoch   0 |  2200/ 4351 batches | rec loss 1.9974 | dis loss 0.5339 |
[2020-03-05 19:55:21]: | epoch   0 |  2400/ 4351 batches | rec loss 1.8705 | dis loss 0.5578 |
[2020-03-05 19:55:35]: | epoch   0 |  2600/ 4351 batches | rec loss 1.5856 | dis loss 0.5433 |
[2020-03-05 19:55:50]: | epoch   0 |  2800/ 4351 batches | rec loss 1.6221 | dis loss 0.4947 |
[2020-03-05 19:56:05]: | epoch   0 |  3000/ 4351 batches | rec loss 1.5974 | dis loss 0.5122 |
[2020-03-05 19:56:20]: | epoch   0 |  3200/ 4351 batches | rec loss 1.6208 | dis loss 0.4204 |
[2020-03-05 19:56:35]: | epoch   0 |  3400/ 4351 batches | rec loss 1.3546 | dis loss 0.5214 |
[2020-03-05 19:56:50]: | epoch   0 |  3600/ 4351 batches | rec loss 1.4057 | dis loss 0.5083 |
[2020-03-05 19:57:05]: | epoch   0 |  3800/ 4351 batches | rec loss 1.3820 | dis loss 0.5359 |
[2020-03-05 19:57:19]: | epoch   0 |  4000/ 4351 batches | rec loss 1.1877 | dis loss 0.4642 |
[2020-03-05 19:57:34]: | epoch   0 |  4200/ 4351 batches | rec loss 1.3465 | dis loss 0.4691 |
[2020-03-05 19:57:46]: | end of epoch   0 | time: 324.19s |
[2020-03-05 19:57:46]: | epoch   1 |     0/ 4351 batches | rec loss 1.2335 | dis loss 0.4953 |
[2020-03-05 19:58:01]: | epoch   1 |   200/ 4351 batches | rec loss 1.1517 | dis loss 0.5716 |
[2020-03-05 19:58:15]: | epoch   1 |   400/ 4351 batches | rec loss 1.1711 | dis loss 0.6272 |
[2020-03-05 19:58:30]: | epoch   1 |   600/ 4351 batches | rec loss 1.0472 | dis loss 0.5381 |
[2020-03-05 19:58:45]: | epoch   1 |   800/ 4351 batches | rec loss 1.2657 | dis loss 0.4057 |
[2020-03-05 19:59:00]: | epoch   1 |  1000/ 4351 batches | rec loss 1.1347 | dis loss 0.4772 |
[2020-03-05 19:59:15]: | epoch   1 |  1200/ 4351 batches | rec loss 1.1564 | dis loss 0.4745 |
[2020-03-05 19:59:30]: | epoch   1 |  1400/ 4351 batches | rec loss 0.9710 | dis loss 0.4456 |
[2020-03-05 19:59:45]: | epoch   1 |  1600/ 4351 batches | rec loss 1.0792 | dis loss 0.4614 |
[2020-03-05 20:00:00]: | epoch   1 |  1800/ 4351 batches | rec loss 0.9542 | dis loss 0.4666 |
[2020-03-05 20:00:14]: | epoch   1 |  2000/ 4351 batches | rec loss 0.9920 | dis loss 0.4657 |
[2020-03-05 20:00:29]: | epoch   1 |  2200/ 4351 batches | rec loss 1.0656 | dis loss 0.4624 |
[2020-03-05 20:00:44]: | epoch   1 |  2400/ 4351 batches | rec loss 1.0661 | dis loss 0.5018 |
[2020-03-05 20:00:59]: | epoch   1 |  2600/ 4351 batches | rec loss 0.9159 | dis loss 0.5408 |
[2020-03-05 20:01:14]: | epoch   1 |  2800/ 4351 batches | rec loss 0.9360 | dis loss 0.4897 |
[2020-03-05 20:01:29]: | epoch   1 |  3000/ 4351 batches | rec loss 1.0047 | dis loss 0.4743 |
[2020-03-05 20:01:43]: | epoch   1 |  3200/ 4351 batches | rec loss 1.0662 | dis loss 0.4070 |
[2020-03-05 20:01:58]: | epoch   1 |  3400/ 4351 batches | rec loss 0.8843 | dis loss 0.5183 |
[2020-03-05 20:02:13]: | epoch   1 |  3600/ 4351 batches | rec loss 0.9654 | dis loss 0.4943 |
[2020-03-05 20:02:28]: | epoch   1 |  3800/ 4351 batches | rec loss 0.9216 | dis loss 0.5165 |
[2020-03-05 20:02:43]: | epoch   1 |  4000/ 4351 batches | rec loss 0.8590 | dis loss 0.4686 |
[2020-03-05 20:02:58]: | epoch   1 |  4200/ 4351 batches | rec loss 0.9851 | dis loss 0.4806 |
[2020-03-05 20:03:09]: | end of epoch   1 | time: 323.50s |
[2020-03-05 20:03:10]: | epoch   2 |     0/ 4351 batches | rec loss 0.8823 | dis loss 0.5077 |
[2020-03-05 20:03:24]: | epoch   2 |   200/ 4351 batches | rec loss 0.8438 | dis loss 0.5464 |
[2020-03-05 20:03:39]: | epoch   2 |   400/ 4351 batches | rec loss 0.8853 | dis loss 0.6182 |
[2020-03-05 20:03:54]: | epoch   2 |   600/ 4351 batches | rec loss 0.8005 | dis loss 0.5123 |
[2020-03-05 20:04:09]: | epoch   2 |   800/ 4351 batches | rec loss 0.9568 | dis loss 0.3898 |
[2020-03-05 20:04:24]: | epoch   2 |  1000/ 4351 batches | rec loss 0.9234 | dis loss 0.4276 |
[2020-03-05 20:04:39]: | epoch   2 |  1200/ 4351 batches | rec loss 0.8791 | dis loss 0.4357 |
[2020-03-05 20:04:54]: | epoch   2 |  1400/ 4351 batches | rec loss 0.7338 | dis loss 0.4641 |
[2020-03-05 20:05:08]: | epoch   2 |  1600/ 4351 batches | rec loss 0.8310 | dis loss 0.4615 |
[2020-03-05 20:05:23]: | epoch   2 |  1800/ 4351 batches | rec loss 0.7644 | dis loss 0.4630 |
[2020-03-05 20:05:38]: | epoch   2 |  2000/ 4351 batches | rec loss 0.8144 | dis loss 0.4723 |
[2020-03-05 20:05:53]: | epoch   2 |  2200/ 4351 batches | rec loss 0.8756 | dis loss 0.4632 |
[2020-03-05 20:06:08]: | epoch   2 |  2400/ 4351 batches | rec loss 0.8778 | dis loss 0.4931 |
[2020-03-05 20:06:23]: | epoch   2 |  2600/ 4351 batches | rec loss 0.7608 | dis loss 0.5171 |
[2020-03-05 20:06:37]: | epoch   2 |  2800/ 4351 batches | rec loss 0.7439 | dis loss 0.4491 |
[2020-03-05 20:06:52]: | epoch   2 |  3000/ 4351 batches | rec loss 0.8417 | dis loss 0.4786 |
[2020-03-05 20:07:07]: | epoch   2 |  3200/ 4351 batches | rec loss 0.8846 | dis loss 0.4025 |
[2020-03-05 20:07:22]: | epoch   2 |  3400/ 4351 batches | rec loss 0.7437 | dis loss 0.4961 |
[2020-03-05 20:07:37]: | epoch   2 |  3600/ 4351 batches | rec loss 0.8295 | dis loss 0.4732 |
[2020-03-05 20:07:52]: | epoch   2 |  3800/ 4351 batches | rec loss 0.8040 | dis loss 0.5403 |
[2020-03-05 20:08:07]: | epoch   2 |  4000/ 4351 batches | rec loss 0.7256 | dis loss 0.4835 |
[2020-03-05 20:08:21]: | epoch   2 |  4200/ 4351 batches | rec loss 0.8471 | dis loss 0.4568 |
[2020-03-05 20:08:33]: | end of epoch   2 | time: 323.15s |
[2020-03-05 20:08:33]: | epoch   3 |     0/ 4351 batches | rec loss 0.7233 | dis loss 0.5168 |
[2020-03-05 20:08:48]: | epoch   3 |   200/ 4351 batches | rec loss 0.7536 | dis loss 0.5483 |
[2020-03-05 20:09:03]: | epoch   3 |   400/ 4351 batches | rec loss 0.7283 | dis loss 0.6159 |
[2020-03-05 20:09:18]: | epoch   3 |   600/ 4351 batches | rec loss 0.6955 | dis loss 0.5174 |
[2020-03-05 20:09:32]: | epoch   3 |   800/ 4351 batches | rec loss 0.8120 | dis loss 0.3835 |
[2020-03-05 20:09:47]: | epoch   3 |  1000/ 4351 batches | rec loss 0.7801 | dis loss 0.4094 |
[2020-03-05 20:10:02]: | epoch   3 |  1200/ 4351 batches | rec loss 0.7828 | dis loss 0.4563 |
[2020-03-05 20:10:17]: | epoch   3 |  1400/ 4351 batches | rec loss 0.6523 | dis loss 0.4299 |
[2020-03-05 20:10:32]: | epoch   3 |  1600/ 4351 batches | rec loss 0.7299 | dis loss 0.4554 |
[2020-03-05 20:10:47]: | epoch   3 |  1800/ 4351 batches | rec loss 0.6486 | dis loss 0.4618 |
[2020-03-05 20:11:02]: | epoch   3 |  2000/ 4351 batches | rec loss 0.6878 | dis loss 0.4858 |
[2020-03-05 20:11:16]: | epoch   3 |  2200/ 4351 batches | rec loss 0.7727 | dis loss 0.4578 |
[2020-03-05 20:11:31]: | epoch   3 |  2400/ 4351 batches | rec loss 0.7777 | dis loss 0.4945 |
[2020-03-05 20:11:46]: | epoch   3 |  2600/ 4351 batches | rec loss 0.6636 | dis loss 0.5340 |
[2020-03-05 20:12:01]: | epoch   3 |  2800/ 4351 batches | rec loss 0.7014 | dis loss 0.4502 |
[2020-03-05 20:12:16]: | epoch   3 |  3000/ 4351 batches | rec loss 0.7551 | dis loss 0.4602 |
[2020-03-05 20:12:31]: | epoch   3 |  3200/ 4351 batches | rec loss 0.8119 | dis loss 0.4114 |
[2020-03-05 20:12:45]: | epoch   3 |  3400/ 4351 batches | rec loss 0.6908 | dis loss 0.4858 |
[2020-03-05 20:13:00]: | epoch   3 |  3600/ 4351 batches | rec loss 0.7342 | dis loss 0.4565 |
[2020-03-05 20:13:15]: | epoch   3 |  3800/ 4351 batches | rec loss 0.7224 | dis loss 0.5417 |
[2020-03-05 20:13:30]: | epoch   3 |  4000/ 4351 batches | rec loss 0.6597 | dis loss 0.4704 |
[2020-03-05 20:13:45]: | epoch   3 |  4200/ 4351 batches | rec loss 0.7698 | dis loss 0.4472 |
[2020-03-05 20:13:56]: | end of epoch   3 | time: 323.41s |
[2020-03-05 20:13:57]: | epoch   4 |     0/ 4351 batches | rec loss 0.6496 | dis loss 0.5066 |
[2020-03-05 20:14:11]: | epoch   4 |   200/ 4351 batches | rec loss 0.6799 | dis loss 0.5333 |
[2020-03-05 20:14:26]: | epoch   4 |   400/ 4351 batches | rec loss 0.6830 | dis loss 0.6147 |
[2020-03-05 20:14:41]: | epoch   4 |   600/ 4351 batches | rec loss 0.6482 | dis loss 0.4778 |
[2020-03-05 20:14:56]: | epoch   4 |   800/ 4351 batches | rec loss 0.7551 | dis loss 0.4063 |
[2020-03-05 20:15:11]: | epoch   4 |  1000/ 4351 batches | rec loss 0.7150 | dis loss 0.4181 |
[2020-03-05 20:15:26]: | epoch   4 |  1200/ 4351 batches | rec loss 0.6874 | dis loss 0.4131 |
[2020-03-05 20:15:41]: | epoch   4 |  1400/ 4351 batches | rec loss 0.5810 | dis loss 0.4427 |
[2020-03-05 20:15:55]: | epoch   4 |  1600/ 4351 batches | rec loss 0.6647 | dis loss 0.4406 |
[2020-03-05 20:16:10]: | epoch   4 |  1800/ 4351 batches | rec loss 0.6077 | dis loss 0.4454 |
[2020-03-05 20:16:25]: | epoch   4 |  2000/ 4351 batches | rec loss 0.6231 | dis loss 0.4699 |
[2020-03-05 20:16:40]: | epoch   4 |  2200/ 4351 batches | rec loss 0.6907 | dis loss 0.4300 |
[2020-03-05 20:16:55]: | epoch   4 |  2400/ 4351 batches | rec loss 0.6914 | dis loss 0.4728 |
[2020-03-05 20:17:10]: | epoch   4 |  2600/ 4351 batches | rec loss 0.6080 | dis loss 0.5397 |
[2020-03-05 20:17:25]: | epoch   4 |  2800/ 4351 batches | rec loss 0.6355 | dis loss 0.4217 |
[2020-03-05 20:17:39]: | epoch   4 |  3000/ 4351 batches | rec loss 0.7110 | dis loss 0.4663 |
[2020-03-05 20:17:54]: | epoch   4 |  3200/ 4351 batches | rec loss 0.7417 | dis loss 0.4223 |
[2020-03-05 20:18:09]: | epoch   4 |  3400/ 4351 batches | rec loss 0.6118 | dis loss 0.4743 |
[2020-03-05 20:18:24]: | epoch   4 |  3600/ 4351 batches | rec loss 0.6488 | dis loss 0.4464 |
[2020-03-05 20:18:39]: | epoch   4 |  3800/ 4351 batches | rec loss 0.6731 | dis loss 0.5468 |
[2020-03-05 20:18:54]: | epoch   4 |  4000/ 4351 batches | rec loss 0.6248 | dis loss 0.4550 |
[2020-03-05 20:19:09]: | epoch   4 |  4200/ 4351 batches | rec loss 0.6932 | dis loss 0.4439 |
[2020-03-05 20:19:20]: | end of epoch   4 | time: 323.41s |
[2020-03-05 20:19:20]: | epoch   5 |     0/ 4351 batches | rec loss 0.5862 | dis loss 0.5050 |
