[2020-03-09 00:27:08]: Path: save/1583728028/ is created
[2020-03-09 00:27:42]: Start train process.
[2020-03-09 00:40:37]: | epoch   2 |  1800/ 4351 batches | rec loss 0.9792 | dis loss 0.5890 |
[2020-03-09 00:40:52]: | epoch   2 |  2000/ 4351 batches | rec loss 0.7511 | dis loss 0.5862 |
[2020-03-09 00:41:07]: | epoch   2 |  2200/ 4351 batches | rec loss 0.8992 | dis loss 0.5575 |
[2020-03-09 00:41:22]: | epoch   2 |  2400/ 4351 batches | rec loss 0.8041 | dis loss 0.5304 |
[2020-03-09 00:41:36]: | epoch   2 |  2600/ 4351 batches | rec loss 0.8728 | dis loss 0.5282 |
[2020-03-09 00:41:51]: | epoch   2 |  2800/ 4351 batches | rec loss 0.7939 | dis loss 0.5142 |
[2020-03-09 00:42:06]: | epoch   2 |  3000/ 4351 batches | rec loss 0.7842 | dis loss 0.5203 |
[2020-03-09 00:42:21]: | epoch   2 |  3200/ 4351 batches | rec loss 0.8687 | dis loss 0.4506 |
[2020-03-09 00:42:35]: | epoch   2 |  3400/ 4351 batches | rec loss 0.8895 | dis loss 0.5566 |
[2020-03-09 00:42:50]: | epoch   2 |  3600/ 4351 batches | rec loss 0.7460 | dis loss 0.4875 |
[2020-03-09 00:43:05]: | epoch   2 |  3800/ 4351 batches | rec loss 0.8382 | dis loss 0.4493 |
[2020-03-09 00:43:19]: | epoch   2 |  4000/ 4351 batches | rec loss 0.7887 | dis loss 0.5826 |
[2020-03-09 00:43:34]: | epoch   2 |  4200/ 4351 batches | rec loss 0.8344 | dis loss 0.4587 |
[2020-03-09 00:43:45]: | end of epoch   2 | time: 320.63s |
[2020-03-09 00:43:46]: | epoch   3 |     0/ 4351 batches | rec loss 0.7988 | dis loss 0.5658 |
[2020-03-09 00:44:00]: | epoch   3 |   200/ 4351 batches | rec loss 0.7540 | dis loss 0.5557 |
[2020-03-09 00:44:15]: | epoch   3 |   400/ 4351 batches | rec loss 0.8008 | dis loss 0.4430 |
[2020-03-09 00:44:30]: | epoch   3 |   600/ 4351 batches | rec loss 0.8011 | dis loss 0.5675 |
[2020-03-09 00:44:44]: | epoch   3 |   800/ 4351 batches | rec loss 0.7983 | dis loss 0.5371 |
[2020-03-09 00:44:59]: | epoch   3 |  1000/ 4351 batches | rec loss 0.6741 | dis loss 0.4857 |
[2020-03-09 00:45:14]: | epoch   3 |  1200/ 4351 batches | rec loss 0.7772 | dis loss 0.4790 |
[2020-03-09 00:45:29]: | epoch   3 |  1400/ 4351 batches | rec loss 0.7459 | dis loss 0.4211 |
[2020-03-09 00:45:43]: | epoch   3 |  1600/ 4351 batches | rec loss 0.6307 | dis loss 0.4953 |
[2020-03-09 00:45:58]: | epoch   3 |  1800/ 4351 batches | rec loss 0.8748 | dis loss 0.5788 |
[2020-03-09 00:46:13]: | epoch   3 |  2000/ 4351 batches | rec loss 0.6901 | dis loss 0.5752 |
[2020-03-09 00:46:28]: | epoch   3 |  2200/ 4351 batches | rec loss 0.8005 | dis loss 0.5808 |
[2020-03-09 00:46:42]: | epoch   3 |  2400/ 4351 batches | rec loss 0.7082 | dis loss 0.4993 |
